[18-11-23 18:53:31 59.928355] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:54:30 59.928168] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:55:30 59.929229] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:56:30 59.928254] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:57:30 59.928442] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:58:30 59.929318] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 18:59:30 59.929306] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 19:00:30 59.928345] , alkaline, Small Load, 3.03, Large Load, 2.71
[18-11-23 19:01:30 59.928203] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:02:30 59.929493] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:03:30 59.927095] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:04:30 59.929130] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:05:30 59.929261] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:06:30 59.927037] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:07:30 59.929265] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:08:29 59.929264] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:09:29 59.927004] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:10:29 59.929070] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:11:29 59.928857] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:12:29 59.927107] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:13:29 59.928927] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:14:29 59.928977] , alkaline, Small Load, 3.03, Large Load, 2.70
[18-11-23 19:15:29 59.927999] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:16:29 59.928097] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:17:29 59.929184] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:18:29 59.927822] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:19:29 59.928135] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:20:29 59.929180] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:21:29 59.928134] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:22:28 59.928363] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:23:28 59.929128] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:24:28 59.928271] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:25:28 59.928188] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:26:28 59.929183] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:27:28 59.928031] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:28:28 59.928303] , alkaline, Small Load, 3.02, Large Load, 2.69
[18-11-23 19:29:28 59.929149] , alkaline, Small Load, 3.02, Large Load, 2.68
[18-11-23 19:30:28 59.928258] , alkaline, Small Load, 3.02, Large Load, 2.68
[18-11-23 19:31:28 59.929415] , alkaline, Small Load, 3.01, Large Load, 2.68
[18-11-23 19:32:28 59.928124] , alkaline, Small Load, 3.01, Large Load, 2.68
[18-11-23 19:33:28 59.928057] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:34:28 59.929261] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:35:28 59.928166] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:36:27 59.927936] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:37:27 59.929014] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:38:27 59.928200] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:39:27 59.927994] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:40:27 59.929187] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:41:27 59.928168] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:42:27 59.928424] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:43:27 59.929464] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:44:27 59.928572] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:45:27 59.928449] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:46:27 59.929435] , alkaline, Small Load, 3.01, Large Load, 2.67
[18-11-23 19:47:27 59.929480] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:48:27 59.928464] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:49:27 59.928339] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:50:26 59.929294] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:51:26 59.927207] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:52:26 59.929333] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:53:26 59.929321] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:54:26 59.927254] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:55:26 59.929166] , alkaline, Small Load, 3.01, Large Load, 2.66
[18-11-23 19:56:26 59.929397] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 19:57:26 59.927411] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 19:58:26 59.929065] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 19:59:26 59.929253] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 20:00:26 59.927122] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 20:01:26 59.929145] , alkaline, Small Load, 3.00, Large Load, 2.66
[18-11-23 20:02:26 59.929249] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:03:26 59.928470] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:04:25 59.928045] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:05:25 59.929282] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:06:25 59.928271] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:07:25 59.928005] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:08:25 59.929368] , alkaline, Small Load, 3.00, Large Load, 2.65
[18-11-23 20:09:25 59.928183] , alkaline, Small Load, 3.00, Large Load, 2.65
