[18-11-23 19:05:35 59.971884] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:06:35 59.971898] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:07:35 59.973111] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:08:35 59.972911] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:09:35 59.971972] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:10:35 59.971722] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:11:35 59.972908] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:12:35 59.970782] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:13:35 59.972799] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:14:35 59.972701] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:15:35 59.970964] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:16:35 59.973093] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:17:35 59.972803] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:18:34 59.970997] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:19:34 59.972963] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:20:34 59.972873] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:21:34 59.970938] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:22:34 59.973123] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:23:34 59.973090] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 19:24:34 59.972084] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:25:34 59.971943] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:26:34 59.973079] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:27:34 59.972067] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:28:34 59.972005] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:29:34 59.973194] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:30:34 59.971885] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:31:34 59.971996] , Lithium, Small Load, 3.37, Large Load, 3.00
[18-11-23 19:32:34 59.972970] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:33:34 59.971933] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:34:34 59.971684] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:35:34 59.972991] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:36:34 59.971891] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:37:34 59.971946] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:38:34 59.972820] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:39:34 59.971946] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:40:34 59.972913] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:41:34 59.972174] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:42:34 59.972150] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:43:34 59.973346] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:44:34 59.972549] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:45:34 59.972140] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:46:34 59.973245] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:47:34 59.972187] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:48:34 59.972314] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:49:34 59.973128] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:50:34 59.972130] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:51:34 59.972014] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:52:34 59.973304] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:53:34 59.971990] , Lithium, Small Load, 3.36, Large Load, 3.00
[18-11-23 19:54:34 59.972070] , Lithium, Small Load, 3.36, Large Load, 3.00
