[18-11-23 18:38:18 59.941410] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:39:18 59.939198] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:40:18 59.941060] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:41:18 59.941173] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:42:18 59.938879] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:43:17 59.940897] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:44:17 59.941123] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:45:17 59.938780] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:46:17 59.941033] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:47:17 59.940892] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:48:17 59.940021] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:49:17 59.939829] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:50:17 59.940997] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:51:17 59.940061] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:52:17 59.940086] , NiMH, Small Load, 2.76, Large Load, 2.54
[18-11-23 18:53:17 59.941142] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:54:17 59.939786] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:55:17 59.940056] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:56:17 59.941177] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:57:17 59.939746] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:58:17 59.940078] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 18:59:17 59.941024] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 19:00:16 59.940154] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 19:01:16 59.940013] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 19:02:16 59.941019] , NiMH, Small Load, 2.76, Large Load, 2.53
[18-11-23 19:03:16 59.939886] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:04:16 59.940879] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:05:16 59.939848] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:06:16 59.939979] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:07:16 59.940975] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:08:16 59.939960] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:09:16 59.939743] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:10:16 59.940579] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:11:16 59.939798] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:12:16 59.939769] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:13:16 59.940732] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:14:16 59.939755] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:15:16 59.939768] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:16:16 59.941043] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:17:15 59.939741] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:18:15 59.939896] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:19:15 59.940756] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:20:15 59.940996] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:21:15 59.939781] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:22:15 59.939961] , NiMH, Small Load, 2.75, Large Load, 2.53
[18-11-23 19:23:15 59.940958] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:24:15 59.938883] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:25:15 59.940895] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:26:15 59.940865] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:27:15 59.938949] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:28:15 59.940969] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:29:15 59.941004] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:30:15 59.938953] , NiMH, Small Load, 2.75, Large Load, 2.52
[18-11-23 19:31:15 59.940962] , NiMH, Small Load, 2.74, Large Load, 2.52
[18-11-23 19:32:15 59.940925] , NiMH, Small Load, 2.74, Large Load, 2.52
[18-11-23 19:33:14 59.938837] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:34:14 59.940928] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:35:14 59.940863] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:36:14 59.939965] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:37:14 59.939934] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:38:14 59.940867] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:39:14 59.939871] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:40:14 59.939861] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:41:14 59.941126] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:42:14 59.940062] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:43:14 59.940231] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:44:14 59.941278] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:45:14 59.940257] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:46:14 59.940207] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:47:14 59.941331] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:48:14 59.940113] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:49:14 59.940093] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:50:13 59.941153] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:51:13 59.940164] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:52:13 59.941014] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:53:13 59.940065] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:54:13 59.940128] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:55:13 59.941051] , NiMH, Small Load, 2.74, Large Load, 2.51
[18-11-23 19:56:13 59.940228] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 19:57:13 59.939897] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 19:58:13 59.941138] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 19:59:13 59.939991] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 20:00:13 59.940076] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 20:01:13 59.940903] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 20:02:13 59.940029] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 20:03:13 59.940055] , NiMH, Small Load, 2.73, Large Load, 2.51
[18-11-23 20:04:13 59.941100] , NiMH, Small Load, 2.73, Large Load, 2.51
